tag	matrix	n	input_nnz	amd_flops	failed_control_flops	reduced_flops	seconds
BATCH_RUNTIME_ROW	autocorr_bern30-23	33	878	8940	8940	8940	0.000006
BATCH_RUNTIME_ROW	mpbp_15	9858	31692	1496502	1167920	1167920	0.593363
BATCH_RUNTIME_ROW	cvxnonsep_psig30r	126	250	501	501	501	0.000002
BATCH_RUNTIME_ROW	rsyn0830hfsg	1590	4100	16168	15383	15383	0.352915
BATCH_RUNTIME_ROW	crudeoil_pooling_ct1	1271	4642	125127	93863	93863	0.451165
BATCH_RUNTIME_ROW	multiplants_stg1c	800	3894	150039	143020	143020	0.453163
BATCH_RUNTIME_ROW	st_pan1	11	32	123	94	94	0.112268
BATCH_RUNTIME_ROW	multiplants_stg1b	814	3992	308612	187593	187593	0.488323
BATCH_RUNTIME_ROW	methanol200	11999	76128	1290836	905945	905945	0.477159
BATCH_RUNTIME_ROW	faclay35	26778	132380	33630126	32021838	32021838	0.454028
BATCH_RUNTIME_ROW	emfl050_5_5	13175	32300	155400	155400	155400	0.209408
BATCH_RUNTIME_ROW	transswitch2383wpr	59853	277562	3946309	3861509	3861509	0.378522
BATCH_RUNTIME_ROW	chimera_lga-01	1120	6400	668019	497101	497101	0.419038
BATCH_RUNTIME_ROW	gasprod_sarawak16	4596	15316	213850	196064	196064	0.534813
BATCH_RUNTIME_ROW	crudeoil_lee4_09	15904	101792	208785578	129101152	130655525	0.729293
BATCH_RUNTIME_ROW	arki0013	44909	160172	390472987	150283404	157005417	0.622874
BATCH_RUNTIME_ROW	st_m1	42	432	3097	3097	3097	0.169250
BATCH_RUNTIME_ROW	mpbp_47	5310	17098	730624	652248	652248	0.526815
BATCH_RUNTIME_ROW	rsyn0815m	821	2242	8260	7745	7745	0.371548
BATCH_RUNTIME_ROW	arki0016	7993	37208	878890	835794	835794	0.735453
BATCH_RUNTIME_ROW	st_glmp_ss2	18	48	121	121	121	0.128773
BATCH_RUNTIME_ROW	rsyn0810m02hfsg	2670	6964	36862	34753	34753	0.489494
BATCH_RUNTIME_ROW	pointpack06	55	276	1497	1497	1497	0.177474
BATCH_RUNTIME_ROW	syn40m04hfsg	6328	16896	76232	73685	73685	0.297736
BATCH_RUNTIME_ROW	clay0304m	258	840	2742	2742	2742	0.254123
BATCH_RUNTIME_ROW	pooling_foulds5pq	1218	8300	159641	159641	159641	0.338645
BATCH_RUNTIME_ROW	clay0305hfsg	1000	2910	12260	11240	11240	0.358307
BATCH_RUNTIME_ROW	st_test8	64	232	2343	1964	1964	0.241249
BATCH_RUNTIME_ROW	gams05	17364	252910	6179750712	3259322396	3259322396	0.668668
BATCH_RUNTIME_ROW	sporttournament08	31	156	862	862	862	0.196235
BATCH_RUNTIME_ROW	powerflow0030p	1121	4194	24944	23642	23642	0.324388
BATCH_RUNTIME_ROW	popdynm200	22407	105584	2567878	2436150	2436690	0.567506
BATCH_RUNTIME_ROW	mpbp_35	11120	40790	3037207	975441	975441	0.553256
BATCH_RUNTIME_ROW	syn30m02m	1492	3936	13752	13455	13455	0.345438
BATCH_RUNTIME_ROW	wastewater13m1	481	3252	60135	60068	60068	0.294817
BATCH_RUNTIME_ROW	syn40hfsg	1022	2624	8432	8155	8155	0.280383
BATCH_RUNTIME_ROW	sep1	69	206	1097	1047	1047	0.173383
BATCH_RUNTIME_ROW	syn30m03m	2508	6804	26806	26552	26552	0.376312
BATCH_RUNTIME_ROW	st_qpc-m3a	30	304	2330	1574	1574	0.000004
BATCH_RUNTIME_ROW	crudeoil_pooling_ct3	2644	11426	1381490	866197	866197	0.563513
BATCH_RUNTIME_ROW	space25a	634	3246	29078	27875	27875	0.359440
BATCH_RUNTIME_ROW	autocorr_bern20-15	23	394	2784	2784	2784	0.000004
BATCH_RUNTIME_ROW	ex7_2_1	35	134	352	341	341	0.201941
BATCH_RUNTIME_ROW	hydroenergy2	2092	6236	69051	56014	56014	0.503655
BATCH_RUNTIME_ROW	pooling_digabel19	514	5340	325989	274903	274903	0.320747
BATCH_RUNTIME_ROW	clay0203m	132	420	1348	1348	1348	0.258998
BATCH_RUNTIME_ROW	squfl030-150	13680	36000	252605	252605	252605	0.275490
