COMPACT_ROW	acopf_case9241pegase_qcqp	313068	1292408	34647355	33736789	33736789	1988065
COMPACT_CORE_WORK	33	18	54	8000000	0.002324	244
COMPACT_ROW	ex1223	33	82	244	244	244	86
COMPACT_ROW	ex6_1_4	10	48	197	153	153	37
COMPACT_CORE_WORK	403	234	1378	8000000	0.002115	10361
COMPACT_ROW	powerflow0014r	403	1630	10761	10361	10361	1783
COMPACT_ROW	knp5-43	2065	31132	3517788	3517788	3517788	36336
COMPACT_ROW	gabriel09	21688	89702	29373994	26366112	26366112	228634
COMPACT_CORE_WORK	32	18	53	8000000	0.002257	233
COMPACT_ROW	tln2	32	88	233	233	233	83
COMPACT_ROW	prob02	22	76	267	232	232	66
COMPACT_CORE_WORK	1422	826	4834	8000000	0.001473	64296
COMPACT_ROW	blend146	1422	4460	78102	64296	64296	6042
COMPACT_CORE_WORK	4518	2728	20971	27733608	0.004298	447643
COMPACT_ROW	mpbp_46	4518	14492	499547	447643	447643	24571
COMPACT_CORE_WORK	413	291	2101	8000000	0.002011	17511
COMPACT_ROW	tls6	413	2860	18483	17511	17511	2429
COMPACT_ROW	emfl100_5_5	21925	52300	221650	221650	221650	62300
COMPACT_ROW	qspp_0_11_0_1_10_1	341	44264	3563707	3531915	3531915	24763
COMPACT_CORE_WORK	403	169	1128	8000000	0.001944	13288
COMPACT_ROW	p_ball_10b_5p_4d_m	403	1484	13581	13288	13288	1736
COMPACT_CORE_WORK	90	70	639	8000000	0.002487	6321
COMPACT_ROW	st_rv9	90	840	6691	6321	6321	679
COMPACT_CORE_WORK	3486	1876	7539	8015616	0.002051	44981
COMPACT_ROW	rsyn0840m02m	3486	9576	47529	44981	44981	10989
COMPACT_ROW	nvs05	22	84	277	266	266	72
COMPACT_ROW	autocorr_bern25-19	28	612	5278	5278	5278	334
COMPACT_CORE_WORK	356	140	616	8000000	0.002297	4960
COMPACT_ROW	sssd20-08persp	356	1232	4960	4960	4960	1208
COMPACT_CORE_WORK	827	310	12912	8000000	0.001575	155722
COMPACT_ROW	multiplants_stg5	827	3804	377794	155722	155722	7440
COMPACT_CORE_WORK	2032	1891	53965	49623392	0.005538	2487310
COMPACT_ROW	chimera_rfr-02	2032	15140	3860441	2487310	2487310	51728
COMPACT_CORE_WORK	726	262	4486	8000000	0.001486	121443
COMPACT_ROW	multiplants_stg1a	726	3510	142058	121443	121443	6211
COMPACT_CORE_WORK	170	93	1122	8000000	0.002156	16556
COMPACT_ROW	pooling_adhya4pq	170	932	24314	16556	16556	1362
COMPACT_ROW	nuclear10a	17493	163816	82406325	55754381	55754381	365783
COMPACT_ROW	sonet24v5	874	7260	185654	110276	110276	7010
COMPACT_ROW	transswitch2736spr	69651	331010	7933133	7281507	7281507	439563
COMPACT_CORE_WORK	8992	4760	29215	64354760	0.011203	576395
COMPACT_ROW	chp_shorttermplan2a	8992	26288	821014	576395	576395	38347
COMPACT_CORE_WORK	1001	998	4185	8000000	0.001510	18164
COMPACT_ROW	catmix200	1001	5592	18173	18164	18164	4196
COMPACT_ROW	nvs23	27	252	1921	1221	1221	153
COMPACT_ROW	oaer	20	40	107	107	107	45
COMPACT_CORE_WORK	168	101	280	8000000	0.002622	1103
COMPACT_ROW	hybriddynamic_fixed	168	388	1103	1103	1103	421
COMPACT_ROW	edgecross24-115	16747	77352	35096942	27626301	27626301	160407
COMPACT_CORE_WORK	1178	243	1295	8000000	0.002102	22528
COMPACT_ROW	space25	1178	4334	23567	22528	22528	4186
COMPACT_ROW	methanol400	23999	151728	2586036	1864047	1864047	186271
COMPACT_CORE_WORK	1218	659	7669	8000000	0.001889	171941
COMPACT_ROW	pooling_foulds5tp	1218	8364	251833	171941	171941	9811
COMPACT_ROW	pooling_sppa9tp	5040	121302	104609262	16877457	16877457	158869
COMPACT_ROW	st_miqp2	10	18	37	37	37	19
COMPACT_ROW	autocorr_bern30-23	33	878	8940	8940	8940	472
COMPACT_CORE_WORK	9858	5550	47491	116310824	0.018319	1185325
COMPACT_ROW	mpbp_15	9858	31692	1496502	1185325	1185325	56119
COMPACT_ROW	cvxnonsep_psig30r	126	250	501	501	501	251
