tag	matrix	n	input_nnz	amd_flops	baseline_flops	factor_nnz	seconds	raw0	raw1	raw2	raw3	post0	post1	post2	post3
ORIGINAL_ROW	qapw	705	87496	12183146	12183146	69878	0.004926	12183146	12183146	12183146	12183146	12183146	12183146	12183146	12183146
ORIGINAL_ROW	himmel11	14	60	198	198	48	0.000013	198	198	198	198	198	198	198	198
ORIGINAL_ROW	syn15m04m	1908	5288	26094	25061	5853	0.001133	25061	25061	25061	25061	25061	25061	25061	25061
ORIGINAL_ROW	pooling_rt2tp	118	654	5876	5796	708	0.000101	5796	5796	5796	5796	5796	5796	5796	5796
ORIGINAL_ROW	waterund14	333	2204	200484	72184	3330	0.000345	72184	72184	72184	72184	72184	72184	72184	72184
ORIGINAL_ROW	crudeoil_lee4_10	17809	120632	294531623	176348241	679883	0.126605	176195564	176316721	176195564	176318097	175846985	174752490	175846985	174752490
ORIGINAL_ROW	pooling_foulds4pq	1294	8302	138692	138540	9768	0.000967	138540	138540	138540	138540	138540	138540	138540	138540
ORIGINAL_ROW	edgecross14-156	3097	19664	1487933	1376964	22658	0.002723	1376964	1376964	1376964	1376964	1376964	1376964	1376964	1376964
ORIGINAL_ROW	tspn08	72	668	11074	7600	602	0.000077	7600	7600	7600	7600	7600	7600	7600	7600
ORIGINAL_ROW	crudeoil_li05	4225	14628	680022	533531	25833	0.003117	533531	533531	533531	533531	533531	533531	533531	533531
ORIGINAL_ROW	procurement1large	14416	41068	13858240	7372274	108944	0.011261	7372274	7372274	7372274	7372274	7372274	7372274	7372274	7372274
ORIGINAL_ROW	blend721	1428	4548	77560	66143	6157	0.000874	66143	66143	66143	66143	66143	66143	66143	66143
ORIGINAL_ROW	chimera_selby-c16-02	2031	10878	4280329	2298651	48833	0.002788	2298651	2298651	2298651	2298651	2298651	2298651	2298651	2298651
ORIGINAL_ROW	supplychainr1_053050	16640	57800	2173490	2173490	77190	0.009292	2173490	2173490	2173490	2173490	2173490	2173490	2173490	2173490
ORIGINAL_ROW	sfacloc2_4_80	5067	21424	93048	88884	17868	0.003049	88884	88884	88884	88884	88884	88884	88884	88884
ORIGINAL_ROW	st_e24	10	26	64	57	23	0.000009	57	57	57	57	57	57	57	57
ORIGINAL_ROW	edgecross10-040	1053	5116	161851	143518	6034	0.000785	143518	143518	143518	143518	143518	143518	143518	143518
ORIGINAL_ROW	sonet21v6	8232	40744	1643311	1585871	40593	0.005190	1585871	1585871	1585871	1585871	1585871	1585871	1585871	1585871
ORIGINAL_ROW	squfl010-080	2490	6400	27665	27665	7335	0.001192	27665	27665	27665	27665	27665	27665	27665	27665
ORIGINAL_ROW	genpooling_lee2	221	1048	19895	14028	1302	0.000172	14028	14028	14028	14028	14028	14028	14028	14028
ORIGINAL_ROW	popdynm25	2807	13904	360081	286812	22528	0.002554	286812	286812	286812	286812	286812	286812	286812	286812
ORIGINAL_ROW	chp_partload	5211	16740	509170	373134	28196	0.004316	373134	373134	373134	373134	373134	373134	373134	373134
ORIGINAL_ROW	qspp_0_14_0_1_10_1	560	120274	16119226	16038266	67194	0.009798	16038266	16038266	16038266	16038266	16038266	16038266	16038266	16038266
ORIGINAL_ROW	st_glmp_ss1	24	66	160	160	60	0.000019	160	160	160	160	160	160	160	160
ORIGINAL_ROW	torsion50	2508	29808	1691033	1119054	42300	0.003233	1119054	1119054	1119054	1119054	1119054	1119054	1119054	1119054
ORIGINAL_ROW	st_rv2	40	340	2045	2045	255	0.000038	2045	2045	2045	2045	2045	2045	2045	2045
ORIGINAL_ROW	emfl100_3_3	6885	15948	55506	55506	18972	0.003740	55506	55506	55506	55506	55506	55506	55506	55506
ORIGINAL_ROW	pedigree_sim400	351	23546	1183471	1183168	12124	0.001487	1183168	1183168	1183168	1183168	1183168	1183168	1183168	1183168
ORIGINAL_ROW	polygon75	5846	49652	1171822	1171822	30672	0.004329	1171822	1171822	1171822	1171822	1171822	1171822	1171822	1171822
ORIGINAL_ROW	gabriel10	244056	1148210	1365442310	1267760679	4735821	0.000000	1267760679	1267760679	1267760679	1267760679	1267760679	1267760679	1267760679	1267760679
ORIGINAL_ROW	fo9_ar25_1	1049	4336	41668	38237	4747	0.000647	38237	38237	38237	38237	38237	38237	38237	38237
ORIGINAL_ROW	rsyn0840m	1159	3168	11274	10602	3316	0.000738	10602	10602	10602	10602	10602	10602	10602	10602
ORIGINAL_ROW	gancns	548	2800	69234	58861	4041	0.000570	58861	58861	58861	58861	58861	58861	58861	58861
ORIGINAL_ROW	o9_ar4_1	1049	4336	41668	38237	4747	0.000620	38237	38237	38237	38237	38237	38237	38237	38237
ORIGINAL_ROW	ex1265a	123	560	3948	3750	588	0.000090	3750	3750	3750	3750	3750	3750	3750	3750
ORIGINAL_ROW	ex9_2_6	28	68	190	190	70	0.000020	190	190	190	190	190	190	190	190
ORIGINAL_ROW	qspp_0_13_0_1_10_1	481	88522	10150185	10097446	49486	0.007271	10097446	10097446	10097446	10097446	10097446	10097446	10097446	10097446
ORIGINAL_ROW	slay04m	146	432	1554	1554	450	0.000078	1554	1554	1554	1554	1554	1554	1554	1554
ORIGINAL_ROW	st_e25	20	92	336	262	66	0.000015	262	262	262	262	262	262	262	262
ORIGINAL_ROW	ex8_4_1	32	100	225	225	83	0.000019	225	225	225	225	225	225	225	225
ORIGINAL_ROW	st_e07	19	60	199	199	59	0.000016	199	199	199	199	199	199	199	199
ORIGINAL_ROW	ex1225	26	66	171	161	63	0.000016	161	161	161	161	161	161	161	161
ORIGINAL_ROW	ndcc13	969	5882	525212	324727	12325	0.000871	324727	324727	324727	324727	324727	324727	324727	324727
ORIGINAL_ROW	syn10m04m	1224	3384	13501	13473	3639	0.000698	13473	13473	13473	13473	13473	13473	13473	13473
ORIGINAL_ROW	ex5_2_4	18	62	204	193	55	0.000014	193	193	193	193	193	193	193	193
ORIGINAL_ROW	st_m2	72	1226	16331	16331	895	0.000108	16331	16331	16331	16331	16331	16331	16331	16331
ORIGINAL_ROW	st_bpk1	16	44	115	108	40	0.000010	108	108	108	108	108	108	108	108
ORIGINAL_ROW	multiplants_stg1	736	3594	197998	155496	6926	0.000707	155496	155496	155496	155496	155496	155496	155496	155496
ORIGINAL_ROW	powerflow0300p	11251	41918	304705	292256	45418	0.008229	292256	292256	292256	292256	292256	292256	292256	292256
ORIGINAL_ROW	nd_netgen-3000-1-1-b-b-ns_7	33155	90000	922197	885186	101542	0.022249	885186	885186	885186	885186	885186	885186	885186	885186
ORIGINAL_ROW	sonet23v4	803	6462	139703	94348	6246	0.000774	94348	94348	94348	94348	94348	94348	94348	94348
ORIGINAL_ROW	pooling_sppa0pq	1649	24192	3745896	1214182	31968	0.002191	1214182	1214182	1214182	1214182	1214182	1214182	1214182	1214182
ORIGINAL_ROW	multiplants_mtg1b	645	4404	229415	152043	6901	0.000665	152043	152043	152043	152043	152043	152043	152043	152043
ORIGINAL_ROW	sssd18-08persp	338	1168	4654	4654	1142	0.000194	4654	4654	4654	4654	4654	4654	4654	4654
ORIGINAL_ROW	ex9_1_2	19	54	188	179	57	0.000016	179	179	179	179	179	179	179	179
ORIGINAL_ROW	crudeoil_lee1_07	3670	19322	4746188	3506452	52882	0.003915	3506452	3506452	3506452	3506452	3506452	3506452	3506452	3506452
ORIGINAL_ROW	pooling_haverly1tp	31	96	423	403	105	0.000023	403	403	403	403	403	403	403	403
ORIGINAL_ROW	waterund08	230	1290	35284	30110	1770	0.000185	30110	30110	30110	30110	30110	30110	30110	30110
ORIGINAL_ROW	kall_diffcircles_6	76	302	1511	1511	281	0.000049	1511	1511	1511	1511	1511	1511	1511	1511
ORIGINAL_ROW	chimera_mgw-c8-439-onc8-001	440	3040	106479	80090	5060	0.000489	80090	80090	80090	80090	80090	80090	80090	80090
ORIGINAL_ROW	waterund11	160	828	14818	10705	989	0.000136	10705	10705	10705	10705	10705	10705	10705	10705
