name	n	nnz	amd_flops	control05_flops	final_flops	control05_factor_nnz	added_screen_seconds
nvs23	27	252	1921	1221	1221	153	0.000031
oaer	20	40	107	107	107	45	0.000015
hybriddynamic_fixed	168	388	1103	1103	1103	421	0.000079
edgecross24-115	16747	77352	35096942	27626301	27626301	160407	0.000000
space25	1178	4334	23567	22528	22528	4186	0.000610
methanol400	23999	151728	2586036	1864047	1864047	186271	0.000000
pooling_foulds5tp	1218	8364	251833	171941	171941	9811	0.001170
pooling_sppa9tp	5040	121302	104609262	16877457	16877457	158869	0.000000
st_miqp2	10	18	37	37	37	19	0.000010
autocorr_bern30-23	33	878	8940	8940	8940	472	0.000070
mpbp_15	9858	31692	1496502	1185325	1185325	56119	0.008054
cvxnonsep_psig30r	126	250	501	501	501	251	0.000046
rsyn0830hfsg	1590	4100	16168	15383	15383	4687	0.000886
crudeoil_pooling_ct1	1271	4642	125127	93863	93863	7323	0.001061
multiplants_stg1c	800	3894	150039	143020	143020	6946	0.000853
st_pan1	11	32	123	94	94	30	0.000011
multiplants_stg1b	814	3992	308612	187593	187593	7725	0.000985
methanol200	11999	76128	1290836	905945	905945	92103	0.011992
faclay35	26778	132380	33630126	32021838	32021838	204090	0.000000
emfl050_5_5	13175	32300	155400	155400	155400	38550	0.006180
transswitch2383wpr	59853	277562	3946309	3861509	3861509	332327	0.000000
chimera_lga-01	1120	6400	668019	497101	497101	15989	0.002081
gasprod_sarawak16	4596	15316	213850	196064	196064	22604	0.003454
crudeoil_lee4_09	15904	101792	208785578	130655525	130655525	559733	0.000000
arki0013	44909	160172	390472987	157005417	157005417	695571	0.000000
st_m1	42	432	3097	3097	3097	313	0.000054
mpbp_47	5310	17098	730624	652248	652248	30546	0.004068
rsyn0815m	821	2242	8260	7745	7745	2365	0.000442
arki0016	7993	37208	878890	835803	835803	47535	0.006996
st_glmp_ss2	18	48	121	121	121	45	0.000016
rsyn0810m02hfsg	2670	6964	36862	34753	34753	8593	0.001502
pointpack06	55	276	1497	1497	1497	241	0.000048
syn40m04hfsg	6328	16896	76232	73685	73685	18919	0.003213
clay0304m	258	840	2742	2742	2742	798	0.000138
pooling_foulds5pq	1218	8300	159641	159641	159641	9583	0.001149
clay0305hfsg	1000	2910	12260	11240	11240	3160	0.000487
st_test8	64	232	2343	1964	1964	316	0.000051
gams05	17364	252910	6179750712	3259322396	3259322396	3290984	0.000000
sporttournament08	31	156	862	862	862	154	0.000036
powerflow0030p	1121	4194	24944	23642	23642	4378	0.000719
