probe binary: /home/frosty/angelX/.tmp/live-performance-20260911/matrices-deepseek/target/probe/release/deps/ssi_candidate_worker-9bc17c144118ca64

running 1 test
test ordering::probe::probe_family ... 
matrix	n	nnz	cur_s	cur_r	kahip_fast2_s	kahip_fast2_r	kahip_fast3_s	kahip_fast3_r	kahip_eco_s	kahip_eco_r	kahip_strong_s	kahip_strong_r	metis_s21_s	metis_s21_r	metis_s2_s	metis_s2_r	metis_imb10_s	metis_imb10_r	metis_imb05_s	metis_imb05_r	metis_sw100_s	metis_sw100_r	metis_sw400_s	metis_sw400_r	metis_dq_s	metis_dq_r	scotch_s2_s	scotch_s2_r
tspn08	72	668	0.2085	0.6863	0.0001	1.0000	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
crudeoil_li05	4225	14628	0.5525	0.7847	0.0110	3.1559	0.0112	3.2733	0.0366	3.9464	0.0448	2.7279	0.0093	2.5339	0.0095	2.8601	0.0091	3.1079	0.0081	2.9799	0.0110	2.2595	0.0074	2.1080	0.0090	2.5461	0.0124	2.8163
procurement1large	14416	41068	0.6759	0.5323	0.0460	1.4108	0.0389	0.9132	0.1527	1.5460	0.2074	1.4410	0.0307	2.4600	0.0281	2.4843	0.0275	1.2287	0.0258	1.5067	0.0373	1.3687	0.0242	1.4131	0.0286	1.4017	0.0380	1.9697
blend721	1428	4548	0.3078	0.8528	0.0020	1.9426	0.0023	2.8288	0.0063	2.4810	0.0078	2.7978	0.0024	3.9521	0.0022	2.9424	0.0020	3.6116	0.0023	3.4448	0.0029	3.5883	0.0018	2.9372	0.0024	4.0722	0.0027	5.5742
chimera_selby-c16-02	2031	10878	0.7243	0.5373	0.0083	0.7011	0.0084	0.7567	0.0244	0.6697	0.0397	0.6489	0.0065	0.9181	0.0060	0.7537	0.0059	0.7665	0.0056	0.8727	0.0082	0.8130	0.0042	0.7648	0.0066	0.7697	0.0089	0.8893
supplychainr1_053050	16640	57800	0.4031	1.0000	0.0647	1.8193	0.0656	1.8680	0.1137	1.8179	0.1128	1.8354	0.0130	1.7457	0.0131	1.7153	0.0130	1.7835	0.0129	1.5898	0.0132	2.4170	0.0134	2.4170	0.0135	2.4170	0.0166	1.7610
sfacloc2_4_80	5067	21424	0.6302	0.9584	0.0123	2.6725	0.0125	2.8208	0.0237	2.5753	0.0239	1.5780	0.0062	2.2947	0.0068	2.4701	0.0068	2.8351	0.0068	2.7748	0.0071	2.6909	0.0061	2.7965	0.0067	2.7287	0.0095	2.9629
st_e24	10	26	0.0000	0.8906	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
edgecross10-040	1053	5116	0.3055	0.8868	0.0021	1.3569	0.0022	1.3526	0.0067	1.3317	0.0072	1.3885	0.0013	1.7121	0.0012	1.6019	0.0013	1.4552	0.0012	1.3576	0.0016	1.3228	0.0013	1.2877	0.0016	1.3228	0.0018	1.3581
sonet21v6	8232	40744	0.3710	0.9650	0.0253	1.6987	0.0333	2.2649	0.0508	1.7129	0.0507	1.7357	0.0135	1.7357	0.0137	1.7357	0.0133	1.7357	0.0129	1.7357	0.0138	1.7614	0.0137	1.7622	0.0137	1.7622	0.0177	1.9966
