name	n	nnz	amd	control_flops	final_flops	elapsed
pooling_adhya4pq	170	932	24314	16556	16556	0.241704
nuclear10a	17493	163816	82406325	55754381	55754381	0.557755
sonet24v5	874	7260	185654	110276	110276	0.446049
transswitch2736spr	69651	331010	7933133	7281507	7281507	0.284407
chp_shorttermplan2a	8992	26288	821014	575282	575282	0.415102
catmix200	1001	5592	18173	18164	18164	0.243177
nvs23	27	252	1921	1221	1221	0.000003
oaer	20	40	107	107	107	0.125844
hybriddynamic_fixed	168	388	1103	1103	1103	0.188726
edgecross24-115	16747	77352	35096942	27626301	27626301	0.440821
space25	1178	4334	23567	22528	22528	0.270990
methanol400	23999	151728	2586036	1864047	1864047	0.393399
pooling_foulds5tp	1218	8364	251833	171941	171941	0.422925
pooling_sppa9tp	5040	121302	104609262	16877457	16877457	0.460405
st_miqp2	10	18	37	37	37	0.000001
autocorr_bern30-23	33	878	8940	8940	8940	0.000006
mpbp_15	9858	31692	1496502	1167920	1167920	0.563816
cvxnonsep_psig30r	126	250	501	501	501	0.000004
rsyn0830hfsg	1590	4100	16168	15383	15383	0.350329
crudeoil_pooling_ct1	1271	4642	125127	93863	93863	0.446492
multiplants_stg1c	800	3894	150039	143020	143020	0.451317
st_pan1	11	32	123	94	94	0.111559
multiplants_stg1b	814	3992	308612	187593	187593	0.489403
methanol200	11999	76128	1290836	905945	905945	0.454319
faclay35	26778	132380	33630126	32021838	32021838	0.454293
emfl050_5_5	13175	32300	155400	155400	155400	0.211255
transswitch2383wpr	59853	277562	3946309	3861509	3861509	0.380408
chimera_lga-01	1120	6400	668019	497101	497101	0.414421
gasprod_sarawak16	4596	15316	213850	196064	196064	0.533382
crudeoil_lee4_09	15904	101792	208785578	130655525	130655525	0.725698
arki0013	44909	160172	390472987	157005417	157005417	0.622991
st_m1	42	432	3097	3097	3097	0.171808
mpbp_47	5310	17098	730624	652248	652248	0.522626
rsyn0815m	821	2242	8260	7745	7745	0.371593
arki0016	7993	37208	878890	835794	835794	0.715334
st_glmp_ss2	18	48	121	121	121	0.128277
rsyn0810m02hfsg	2670	6964	36862	34753	34753	0.488410
pointpack06	55	276	1497	1497	1497	0.176479
syn40m04hfsg	6328	16896	76232	73685	73685	0.292643
clay0304m	258	840	2742	2742	2742	0.255870
pooling_foulds5pq	1218	8300	159641	159641	159641	0.335571
clay0305hfsg	1000	2910	12260	11240	11240	0.355105
st_test8	64	232	2343	1964	1964	0.240920
gams05	17364	252910	6179750712	3259322396	3259322396	0.667786
sporttournament08	31	156	862	862	862	0.196407
powerflow0030p	1121	4194	24944	23642	23642	0.320297
popdynm200	22407	105584	2567878	2436690	2436690	0.570223
mpbp_35	11120	40790	3037207	975441	975441	0.556979
syn30m02m	1492	3936	13752	13455	13455	0.342594
wastewater13m1	481	3252	60135	60068	60068	0.295751
syn40hfsg	1022	2624	8432	8155	8155	0.277897
sep1	69	206	1097	1047	1047	0.171807
syn30m03m	2508	6804	26806	26552	26552	0.375428
st_qpc-m3a	30	304	2330	1574	1574	0.000004
crudeoil_pooling_ct3	2644	11426	1381490	866197	866197	0.559927
space25a	634	3246	29078	27875	27875	0.357373
autocorr_bern20-15	23	394	2784	2784	2784	0.000004
ex7_2_1	35	134	352	341	341	0.201381
hydroenergy2	2092	6236	69051	56014	56014	0.501947
pooling_digabel19	514	5340	325989	274903	274903	0.319855
clay0203m	132	420	1348	1348	1348	0.257446
squfl030-150	13680	36000	252605	252605	252605	0.274537
