tag	matrix	n	input_nnz	amd_flops	control_flops	extended_flops	seconds
BATCH_RUNTIME_ROW	blend146	1422	4460	78102	64296	64296	0.322917
BATCH_RUNTIME_ROW	mpbp_46	4518	14492	499547	447643	447603	0.415491
BATCH_RUNTIME_ROW	tls6	413	2860	18483	17511	17511	0.339219
BATCH_RUNTIME_ROW	emfl100_5_5	21925	52300	221650	221650	221650	0.322680
BATCH_RUNTIME_ROW	qspp_0_11_0_1_10_1	341	44264	3563707	3531915	3531915	0.145379
BATCH_RUNTIME_ROW	p_ball_10b_5p_4d_m	403	1484	13581	13288	13288	0.279862
BATCH_RUNTIME_ROW	st_rv9	90	840	6691	6321	6321	0.249544
BATCH_RUNTIME_ROW	rsyn0840m02m	3486	9576	47529	44981	44981	0.392008
BATCH_RUNTIME_ROW	nvs05	22	84	277	266	266	0.180275
BATCH_RUNTIME_ROW	autocorr_bern25-19	28	612	5278	5278	5278	0.000005
BATCH_RUNTIME_ROW	sssd20-08persp	356	1232	4960	4960	4960	0.293220
BATCH_RUNTIME_ROW	multiplants_stg5	827	3804	377794	155722	155722	0.468782
BATCH_RUNTIME_ROW	chimera_rfr-02	2032	15140	3860441	2487310	2487302	0.520912
BATCH_RUNTIME_ROW	multiplants_stg1a	726	3510	142058	121443	121443	0.460027
BATCH_RUNTIME_ROW	pooling_adhya4pq	170	932	24314	16556	16556	0.245667
BATCH_RUNTIME_ROW	nuclear10a	17493	163816	82406325	55749125	55749125	0.593372
BATCH_RUNTIME_ROW	sonet24v5	874	7260	185654	110276	110276	0.450613
BATCH_RUNTIME_ROW	transswitch2736spr	69651	331010	7933133	7281507	7281507	0.281256
BATCH_RUNTIME_ROW	chp_shorttermplan2a	8992	26288	821014	576395	575282	0.441416
BATCH_RUNTIME_ROW	catmix200	1001	5592	18173	18164	18164	0.251008
BATCH_RUNTIME_ROW	nvs23	27	252	1921	1221	1221	0.000004
BATCH_RUNTIME_ROW	oaer	20	40	107	107	107	0.130014
BATCH_RUNTIME_ROW	hybriddynamic_fixed	168	388	1103	1103	1103	0.195449
BATCH_RUNTIME_ROW	edgecross24-115	16747	77352	35096942	27626301	27626301	0.454176
BATCH_RUNTIME_ROW	space25	1178	4334	23567	22528	22528	0.279754
BATCH_RUNTIME_ROW	methanol400	23999	151728	2586036	1864047	1864047	0.418516
BATCH_RUNTIME_ROW	pooling_foulds5tp	1218	8364	251833	171941	171941	0.430132
BATCH_RUNTIME_ROW	pooling_sppa9tp	5040	121302	104609262	16877457	16877457	0.477869
BATCH_RUNTIME_ROW	st_miqp2	10	18	37	37	37	0.000001
BATCH_RUNTIME_ROW	autocorr_bern30-23	33	878	8940	8940	8940	0.000006
BATCH_RUNTIME_ROW	mpbp_15	9858	31692	1496502	1185325	1167920	0.603423
BATCH_RUNTIME_ROW	cvxnonsep_psig30r	126	250	501	501	501	0.000003
BATCH_RUNTIME_ROW	rsyn0830hfsg	1590	4100	16168	15383	15383	0.355210
BATCH_RUNTIME_ROW	crudeoil_pooling_ct1	1271	4642	125127	93863	93863	0.458678
BATCH_RUNTIME_ROW	multiplants_stg1c	800	3894	150039	143020	143020	0.462271
BATCH_RUNTIME_ROW	st_pan1	11	32	123	94	94	0.112814
BATCH_RUNTIME_ROW	multiplants_stg1b	814	3992	308612	187593	187593	0.499220
