tag	matrix	n	input_nnz	amd_flops	base_flops	base_factor_nnz	selected_flops	seconds	accepted_state_flags
SELECTED_ORIGINAL_ROW	graphpart_3g-0333-0333	108	648	44928	36228	1594	36228	0.000000	0
SELECTED_ORIGINAL_ROW	slay05h	760	2080	9815	8795	2425	8795	0.000000	0
SELECTED_ORIGINAL_ROW	korcns	156	712	7241	6599	887	6599	0.000000	0
SELECTED_ORIGINAL_ROW	powerflow0118p	5065	18730	121503	117327	20045	117327	0.000000	0
SELECTED_ORIGINAL_ROW	sfacloc2_3_80	4799	20600	84672	81119	16813	81119	0.000000	0
SELECTED_ORIGINAL_ROW	rsyn0820m04m	6028	17372	196890	152980	21916	152980	0.000000	0
SELECTED_ORIGINAL_ROW	hydroenergy1	1046	3024	14089	14089	3435	14089	0.000000	0
SELECTED_ORIGINAL_ROW	maxmin	181	1440	8405	8405	925	8405	0.000000	0
SELECTED_ORIGINAL_ROW	st_ht	8	18	51	44	18	44	0.000000	0
SELECTED_ORIGINAL_ROW	crudeoil_lee2_06	6418	34646	23299675	16066186	133378	16066186	0.003422	3
SELECTED_ORIGINAL_ROW	kan_r3_h1_n4	3183	14062	104945	98715	15597	98715	0.000000	0
SELECTED_ORIGINAL_ROW	primary	378	5610	109639	95258	3428	95258	0.000000	0
SELECTED_ORIGINAL_ROW	syn10m03hfsg	1071	2772	9890	9812	3040	9812	0.000000	0
SELECTED_ORIGINAL_ROW	wastewater02m1	36	138	848	790	156	790	0.000000	0
SELECTED_ORIGINAL_ROW	supplychainr1_022020	4620	15680	273140	273100	20540	273100	0.000000	0
SELECTED_ORIGINAL_ROW	squfl025-025persp	3800	11250	49925	49925	10975	49925	0.000000	0
SELECTED_ORIGINAL_ROW	ringpack_30_2	17999	121458	12394600	2873684	108470	2873684	0.000000	0
SELECTED_ORIGINAL_ROW	nuclear104	39098	257806	103156931	78321564	523276	78321564	0.000000	1
SELECTED_ORIGINAL_ROW	chp_shorttermplan1a	4952	15700	376486	299825	22589	299825	0.000000	0
SELECTED_ORIGINAL_ROW	rocket50	555	3488	19983	19265	3185	19265	0.000000	0
SELECTED_ORIGINAL_ROW	rsyn0840m04m	8508	24272	229914	185120	29560	185120	0.000000	0
SELECTED_ORIGINAL_ROW	mpbp_21	11716	37660	1691114	1456963	65805	1456963	0.000000	0
SELECTED_ORIGINAL_ROW	orth_d4m6_pl	172	1096	10938	10703	1019	10703	0.000000	0
SELECTED_ORIGINAL_ROW	kall_circlespolygons_c1p5b	1681	7432	201759	193841	11831	193841	0.000000	0
SELECTED_ORIGINAL_ROW	acopf_case9241pegase_qcqp	313068	1292408	34647355	33736789	1988065	33736789	0.000000	0
SELECTED_ORIGINAL_ROW	ex1223	33	82	244	244	86	244	0.000000	0
SELECTED_ORIGINAL_ROW	ex6_1_4	10	48	197	153	37	153	0.000000	0
SELECTED_ORIGINAL_ROW	powerflow0014r	403	1630	10761	10361	1783	10361	0.000000	0
SELECTED_ORIGINAL_ROW	knp5-43	2065	31132	3517788	3517788	36336	3517788	0.000000	0
SELECTED_ORIGINAL_ROW	gabriel09	21688	89702	29373994	26366112	228634	26366112	0.000000	0
SELECTED_ORIGINAL_ROW	tln2	32	88	233	233	83	233	0.000000	0
SELECTED_ORIGINAL_ROW	prob02	22	76	267	232	66	232	0.000000	0
SELECTED_ORIGINAL_ROW	blend146	1422	4460	78102	64296	6042	64296	0.000000	0
SELECTED_ORIGINAL_ROW	mpbp_46	4518	14492	499547	447603	24571	447603	0.000000	0
SELECTED_ORIGINAL_ROW	tls6	413	2860	18483	17511	2429	17511	0.000000	0
SELECTED_ORIGINAL_ROW	emfl100_5_5	21925	52300	221650	221650	62300	221650	0.000000	0
SELECTED_ORIGINAL_ROW	qspp_0_11_0_1_10_1	341	44264	3563707	3531915	24763	3531915	0.000000	0
SELECTED_ORIGINAL_ROW	p_ball_10b_5p_4d_m	403	1484	13581	13288	1736	13288	0.000000	0
SELECTED_ORIGINAL_ROW	st_rv9	90	840	6691	6321	679	6321	0.000000	0
SELECTED_ORIGINAL_ROW	rsyn0840m02m	3486	9576	47529	44981	10989	44981	0.000000	0
SELECTED_ORIGINAL_ROW	nvs05	22	84	277	266	72	266	0.000000	0
SELECTED_ORIGINAL_ROW	autocorr_bern25-19	28	612	5278	5278	334	5278	0.000000	0
SELECTED_ORIGINAL_ROW	sssd20-08persp	356	1232	4960	4960	1208	4960	0.000000	0
SELECTED_ORIGINAL_ROW	multiplants_stg5	827	3804	377794	155722	7440	155722	0.000000	0
SELECTED_ORIGINAL_ROW	chimera_rfr-02	2032	15140	3860441	2487302	51728	2487302	0.000000	0
SELECTED_ORIGINAL_ROW	multiplants_stg1a	726	3510	142058	121443	6211	121443	0.000000	0
SELECTED_ORIGINAL_ROW	pooling_adhya4pq	170	932	24314	16556	1362	16556	0.000000	0
SELECTED_ORIGINAL_ROW	nuclear10a	17493	163816	82406325	55749125	365737	55749125	0.008878	1
SELECTED_ORIGINAL_ROW	sonet24v5	874	7260	185654	110276	7010	110276	0.000000	0
SELECTED_ORIGINAL_ROW	transswitch2736spr	69651	331010	7933133	7281507	439563	7281507	0.000000	0
SELECTED_ORIGINAL_ROW	chp_shorttermplan2a	8992	26288	821014	575282	38330	575282	0.000000	0
SELECTED_ORIGINAL_ROW	catmix200	1001	5592	18173	18164	4196	18164	0.000000	0
SELECTED_ORIGINAL_ROW	nvs23	27	252	1921	1221	153	1221	0.000000	0
SELECTED_ORIGINAL_ROW	oaer	20	40	107	107	45	107	0.000000	0
SELECTED_ORIGINAL_ROW	hybriddynamic_fixed	168	388	1103	1103	421	1103	0.000000	0
